first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_newly_tested,weekly_cases,weekly_deceased,
15/03/2020,21/03/2020,0-19,לא ידוע,22,22,0,0,
15/03/2020,21/03/2020,0-19,זכר,1075,1027,34,0,
15/03/2020,21/03/2020,0-19,נקבה,885,848,35,0,
15/03/2020,21/03/2020,20-24,זכר,708,661,105,0,
15/03/2020,21/03/2020,20-24,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,20-24,נקבה,623,605,35,0,
15/03/2020,21/03/2020,25-29,זכר,597,571,50,0,
15/03/2020,21/03/2020,25-29,לא ידוע,0,0,0,0,
15/03/2020,21/03/2020,25-29,נקבה,738,707,49,0,Fuente: https://data.gov.il/dataset/covid-19/resource/89f61e3a-4866-4bbf-bcc1-9734e5fee58e
15/03/2020,21/03/2020,30-34,זכר,657,601,69,0,
15/03/2020,21/03/2020,30-34,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,30-34,נקבה,721,657,40,0,
15/03/2020,21/03/2020,35-39,זכר,571,529,51,0,
15/03/2020,21/03/2020,35-39,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,35-39,נקבה,524,498,25,0,
15/03/2020,21/03/2020,40-44,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,40-44,נקבה,478,435,21,0,
15/03/2020,21/03/2020,40-44,זכר,428,395,34,0,
15/03/2020,21/03/2020,45-49,נקבה,392,375,15,0,
15/03/2020,21/03/2020,45-49,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,45-49,זכר,373,331,43,0,
15/03/2020,21/03/2020,50-54,זכר,305,276,33,0,
15/03/2020,21/03/2020,50-54,נקבה,391,368,27,0,
15/03/2020,21/03/2020,50-54,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,55-59,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,55-59,זכר,211,188,25,0,
15/03/2020,21/03/2020,55-59,נקבה,355,328,28,0,
15/03/2020,21/03/2020,60-64,לא ידוע,0,0,0,0,
15/03/2020,21/03/2020,60-64,נקבה,309,290,25,0,
15/03/2020,21/03/2020,60-64,זכר,250,224,24,0,
15/03/2020,21/03/2020,65-69,לא ידוע,0,0,0,0,
15/03/2020,21/03/2020,65-69,זכר,276,240,36,0,
15/03/2020,21/03/2020,65-69,נקבה,238,212,15,0,
15/03/2020,21/03/2020,70-74,נקבה,171,151,20,0,
15/03/2020,21/03/2020,70-74,זכר,210,179,27,0,
15/03/2020,21/03/2020,70-74,לא ידוע,<15,<15,0,0,
15/03/2020,21/03/2020,75-79,נקבה,88,81,<15,0,
15/03/2020,21/03/2020,75-79,לא ידוע,0,0,0,0,
15/03/2020,21/03/2020,75-79,זכר,123,107,<15,0,
15/03/2020,21/03/2020,80+,זכר,192,170,<15,<15,
15/03/2020,21/03/2020,80+,נקבה,238,203,<15,0,
15/03/2020,21/03/2020,80+,לא ידוע,0,0,0,0,
15/03/2020,21/03/2020,NULL,זכר,242,225,<15,0,
15/03/2020,21/03/2020,NULL,נקבה,250,223,<15,0,
15/03/2020,21/03/2020,NULL,לא ידוע,119,96,32,0,
22/03/2020,28/03/2020,0-19,לא ידוע,45,44,0,0,
22/03/2020,28/03/2020,0-19,זכר,2428,2282,184,0,
22/03/2020,28/03/2020,0-19,נקבה,2202,2064,161,0,
22/03/2020,28/03/2020,20-24,זכר,2064,1882,219,0,
22/03/2020,28/03/2020,20-24,לא ידוע,79,79,0,0,
22/03/2020,28/03/2020,20-24,נקבה,2118,1997,154,0,
22/03/2020,28/03/2020,25-29,זכר,2035,1892,171,0,
22/03/2020,28/03/2020,25-29,לא ידוע,36,36,<15,0,
22/03/2020,28/03/2020,25-29,נקבה,2173,2012,116,0,
22/03/2020,28/03/2020,30-34,זכר,1858,1682,132,0,
22/03/2020,28/03/2020,30-34,לא ידוע,22,22,0,0,
22/03/2020,28/03/2020,30-34,נקבה,1805,1646,117,0,
22/03/2020,28/03/2020,35-39,זכר,1583,1407,124,0,
22/03/2020,28/03/2020,35-39,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,35-39,נקבה,1536,1433,79,0,
22/03/2020,28/03/2020,40-44,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,40-44,נקבה,1276,1175,74,0,
22/03/2020,28/03/2020,40-44,זכר,1210,1108,94,0,
22/03/2020,28/03/2020,45-49,נקבה,1205,1131,82,0,
22/03/2020,28/03/2020,45-49,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,45-49,זכר,1075,975,128,0,
22/03/2020,28/03/2020,50-54,זכר,801,732,119,0,
22/03/2020,28/03/2020,50-54,נקבה,1138,1048,102,0,
22/03/2020,28/03/2020,50-54,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,55-59,לא ידוע,<15,<15,<15,0,
22/03/2020,28/03/2020,55-59,זכר,782,722,142,0,
22/03/2020,28/03/2020,55-59,נקבה,1058,960,82,0,
22/03/2020,28/03/2020,60-64,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,60-64,נקבה,936,864,80,0,
22/03/2020,28/03/2020,60-64,זכר,910,815,125,<15,
22/03/2020,28/03/2020,65-69,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,65-69,זכר,697,624,89,0,
22/03/2020,28/03/2020,65-69,נקבה,602,554,59,<15,
22/03/2020,28/03/2020,70-74,נקבה,458,387,42,0,
22/03/2020,28/03/2020,70-74,זכר,482,416,68,<15,
22/03/2020,28/03/2020,70-74,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,75-79,נקבה,254,217,21,0,
22/03/2020,28/03/2020,75-79,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,75-79,זכר,309,258,47,<15,
22/03/2020,28/03/2020,80+,זכר,476,407,37,<15,
22/03/2020,28/03/2020,80+,נקבה,711,623,35,<15,
22/03/2020,28/03/2020,80+,לא ידוע,<15,<15,0,0,
22/03/2020,28/03/2020,NULL,זכר,529,482,24,0,
22/03/2020,28/03/2020,NULL,נקבה,448,376,<15,0,
22/03/2020,28/03/2020,NULL,לא ידוע,283,231,31,0,
29/03/2020,04/04/2020,0-19,לא ידוע,46,46,<15,0,
29/03/2020,04/04/2020,0-19,זכר,3524,3185,361,0,
29/03/2020,04/04/2020,0-19,נקבה,3114,2807,310,0,
29/03/2020,04/04/2020,20-24,זכר,4743,4155,335,0,
29/03/2020,04/04/2020,20-24,לא ידוע,37,35,0,0,
29/03/2020,04/04/2020,20-24,נקבה,4074,3710,238,0,
29/03/2020,04/04/2020,25-29,זכר,3358,2981,239,0,
29/03/2020,04/04/2020,25-29,לא ידוע,21,21,0,0,
29/03/2020,04/04/2020,25-29,נקבה,2954,2524,168,0,
29/03/2020,04/04/2020,30-34,זכר,3082,2602,196,0,
29/03/2020,04/04/2020,30-34,לא ידוע,17,16,0,0,
29/03/2020,04/04/2020,30-34,נקבה,2704,2339,112,0,
29/03/2020,04/04/2020,35-39,זכר,2670,2248,150,0,
29/03/2020,04/04/2020,35-39,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,35-39,נקבה,2219,1910,104,0,
29/03/2020,04/04/2020,40-44,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,40-44,נקבה,2106,1817,115,0,
29/03/2020,04/04/2020,40-44,זכר,2154,1828,182,0,
29/03/2020,04/04/2020,45-49,נקבה,2021,1761,107,0,
29/03/2020,04/04/2020,45-49,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,45-49,זכר,1929,1620,165,0,
29/03/2020,04/04/2020,50-54,זכר,1617,1365,140,0,
29/03/2020,04/04/2020,50-54,נקבה,1896,1628,103,<15,
29/03/2020,04/04/2020,50-54,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,55-59,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,55-59,זכר,1502,1277,155,0,
29/03/2020,04/04/2020,55-59,נקבה,1770,1521,131,0,
29/03/2020,04/04/2020,60-64,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,60-64,נקבה,1403,1219,105,0,
29/03/2020,04/04/2020,60-64,זכר,1474,1249,148,0,
29/03/2020,04/04/2020,65-69,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,65-69,זכר,1216,977,136,<15,
29/03/2020,04/04/2020,65-69,נקבה,901,785,79,<15,
29/03/2020,04/04/2020,70-74,נקבה,654,562,57,<15,
29/03/2020,04/04/2020,70-74,זכר,806,654,97,<15,
29/03/2020,04/04/2020,70-74,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,75-79,נקבה,388,319,37,0,
29/03/2020,04/04/2020,75-79,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,75-79,זכר,449,339,57,<15,
29/03/2020,04/04/2020,80+,זכר,865,723,81,<15,
29/03/2020,04/04/2020,80+,נקבה,1150,952,98,<15,
29/03/2020,04/04/2020,80+,לא ידוע,<15,<15,0,0,
29/03/2020,04/04/2020,NULL,זכר,682,596,48,0,
29/03/2020,04/04/2020,NULL,נקבה,704,573,32,0,
29/03/2020,04/04/2020,NULL,לא ידוע,238,174,<15,0,
12/04/2020,18/04/2020,0-19,לא ידוע,48,48,<15,0,
12/04/2020,18/04/2020,0-19,זכר,4909,4313,590,0,
12/04/2020,18/04/2020,0-19,נקבה,4198,3663,610,0,
12/04/2020,18/04/2020,20-24,נקבה,3534,3113,350,0,
12/04/2020,18/04/2020,20-24,זכר,4454,3946,417,0,
12/04/2020,18/04/2020,20-24,לא ידוע,25,24,<15,0,
12/04/2020,18/04/2020,25-29,נקבה,3186,2873,205,0,
12/04/2020,18/04/2020,25-29,לא ידוע,24,24,0,0,
12/04/2020,18/04/2020,25-29,זכר,3916,3513,280,0,
12/04/2020,18/04/2020,30-34,זכר,3407,3052,229,0,
12/04/2020,18/04/2020,30-34,נקבה,2722,2471,156,0,
12/04/2020,18/04/2020,30-34,לא ידוע,15,15,0,0,
12/04/2020,18/04/2020,35-39,נקבה,2486,2300,127,0,
12/04/2020,18/04/2020,35-39,לא ידוע,17,17,0,0,
12/04/2020,18/04/2020,35-39,זכר,2804,2532,179,<15,
12/04/2020,18/04/2020,40-44,לא ידוע,<15,<15,0,0,
12/04/2020,18/04/2020,40-44,נקבה,2396,2228,136,0,
12/04/2020,18/04/2020,40-44,זכר,2504,2250,188,0,
12/04/2020,18/04/2020,45-49,זכר,2445,2160,193,0,
12/04/2020,18/04/2020,45-49,נקבה,2597,2388,171,0,
12/04/2020,18/04/2020,45-49,לא ידוע,<15,<15,0,0,
12/04/2020,18/04/2020,50-54,לא ידוע,<15,<15,<15,0,
12/04/2020,18/04/2020,50-54,זכר,2271,1970,181,0,
12/04/2020,18/04/2020,50-54,נקבה,2413,2207,157,0,
12/04/2020,18/04/2020,55-59,לא ידוע,<15,<15,<15,0,
12/04/2020,18/04/2020,55-59,נקבה,2286,2081,132,0,
12/04/2020,18/04/2020,55-59,זכר,2019,1735,184,0,
12/04/2020,18/04/2020,60-64,נקבה,2059,1898,108,0,
12/04/2020,18/04/2020,60-64,לא ידוע,21,21,0,0,
12/04/2020,18/04/2020,60-64,זכר,1998,1749,132,<15,
12/04/2020,18/04/2020,65-69,לא ידוע,<15,<15,0,0,
12/04/2020,18/04/2020,65-69,זכר,1621,1410,140,<15,
12/04/2020,18/04/2020,65-69,נקבה,1500,1387,75,0,
12/04/2020,18/04/2020,70-74,נקבה,1410,1300,79,<15,
12/04/2020,18/04/2020,70-74,זכר,1363,1204,106,<15,
