תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה,חולים קשה מצטבר
11/03/2020,79,36.7,48,18,<15,20,64,15.3,72,37.5,47,17.4,NULL,NULL,NULL,NULL,<15,33.3,68,16.2,<15
12/03/2020,102,40.2,50,18.2,<15,20,64,15.3,95,41.1,49,17.9,NULL,NULL,NULL,NULL,<15,33.3,68,16.2,<15
13/03/2020,120,39.2,50,18.3,<15,20,64,15.3,109,39.4,48,17.6,<15,40,69,16.7,<15,33.3,68,16.2,<15
14/03/2020,158,41.1,48,18.4,<15,0,71,7.4,148,41.9,46,17.5,<15,40,69,16.7,<15,20,77,10.3,<15
15/03/2020,198,43.9,47,18.7,<15,20,74,7.4,183,44.3,45,17.5,<15,42.9,62,16,<15,37.5,79,9,<15
16/03/2020,218,43.6,47,18.8,<15,16.7,75,6.8,202,44.1,45,17.8,<15,50,60,15.7,<15,30,78,8.5,<15
17/03/2020,249,43.8,48,19.1,<15,16.7,75,6.8,231,44.6,46,18.4,<15,42.9,57,16.4,<15,27.3,77,8.8,<15
18/03/2020,298,42.6,48,19.1,<15,16.7,75,6.8,273,44,46,18.4,<15,25,60,14.7,<15,30.8,77,9.4,15
19/03/2020,287,41.8,49,19.7,<15,36.4,71,13,257,42.8,46,18.9,<15,25,61,13.7,18,38.9,74,12.6,20
20/03/2020,280,42.5,51,19.4,<15,36.4,71,13,245,43.7,48,19,15,26.7,59,12.5,20,40,72,12.1,23
21/03/2020,271,41.7,52,19.5,<15,35.7,69,12.7,227,43.2,50,19.4,21,28.6,61,11.4,23,39.1,71,13,27
22/03/2020,317,42,53,19.8,21,23.8,67,13.9,252,45.2,49,19.2,32,28.1,65,14,33,30.3,71,14.4,37
23/03/2020,341,42.2,55,19.9,22,27.3,69,12.1,267,44.2,51,19.3,36,33.3,67,14.9,38,36.8,73,12.7,43
24/03/2020,383,39.4,55,20.2,24,20.8,67,18.6,294,42.5,51,19.6,48,29.2,67,13.8,41,29.3,70,17.8,49
25/03/2020,403,38.7,56,20,26,26.9,66,19.6,305,42,52,19.6,53,26.4,66,13.5,45,31.1,70,18.6,54
26/03/2020,454,39.4,55,20,29,24.1,63,18.5,338,42.9,52,20.1,66,31.8,64,14.3,50,26,66,18.2,63
27/03/2020,490,39.2,56,19.5,35,22.9,62,19.8,362,43.4,53,19.8,70,27.1,64,13.8,58,27.6,65,18.7,73
28/03/2020,483,37.5,57,19.5,39,20.5,62,19.3,343,41.7,54,19.9,78,23.1,63,13.8,62,32.3,66,18.4,78
29/03/2020,506,36.4,57,19.2,48,16.7,63,17.4,354,41.2,54,19.9,80,23.8,64,13.9,72,26.4,65,16.7,91
30/03/2020,587,36.5,58,19.2,52,15.4,67,14.6,409,40.6,55,19.7,98,26.5,64,16.3,80,27.5,68,15.5,101
31/03/2020,646,35.8,59,19,62,16.1,66,14.4,448,39.3,55,19.2,107,29,65,17.6,91,26.4,67,14.7,116
01/04/2020,737,36.1,60,19.2,70,12.9,66,15,494,41.3,56,19.7,137,26.3,66,16.5,106,24.5,69,15.1,136
02/04/2020,790,37.6,60,19.2,76,15.8,66,14.3,541,42.9,57,19.8,140,26.4,66,16.6,109,25.7,68,14.3,148
03/04/2020,791,37.8,60,19.6,90,18.9,66,15.3,510,43.7,56,20.2,154,26,66,16.4,127,28.3,68,15.8,169
04/04/2020,767,37.2,60,19.9,105,19,65,15.8,465,45.2,56,21.1,165,24.2,66,16.2,137,25.5,67,16.1,184
05/04/2020,804,37.1,61,19.4,106,18.9,65,15.5,484,44.4,57,20.4,187,27.8,66,16.2,133,23.3,67,16,190
06/04/2020,791,37,62,18.6,108,17.6,64,15.9,443,42.4,58,19.3,203,35,68,16,145,23.4,66,16.1,210
07/04/2020,734,37.1,63,18.5,105,20,65,16.2,378,43.9,59,20,198,33.8,68,15.8,158,24.7,66,15.6,227
08/04/2020,681,36.7,63,18.5,114,19.3,65,15.9,324,44.8,59,20.2,193,32.6,68,15.9,164,25.6,66,15.6,244
09/04/2020,660,38.2,64,19.2,116,19,65,15.1,309,48.2,59,21.2,187,35.8,69,17.2,164,22,66,15.3,259
10/04/2020,665,38.3,64,19,127,20.5,65,15.2,325,48.9,59,20.7,171,33.9,70,17,169,22.5,67,14.9,269
11/04/2020,622,38.7,65,18.4,129,19.4,66,14.7,278,48.6,60,20.4,163,38.7,71,16.3,181,23.8,67,15.1,293
12/04/2020,663,39.8,65,18.4,129,18.6,66,14.8,312,46.8,62,20.3,174,43.1,69,16.9,177,24.3,67,15.1,311
13/04/2020,688,40.6,65,19,136,17.6,66,15.8,328,47.9,61,21.2,169,42.6,70,16,191,26.2,67,15.7,337
14/04/2020,676,41.9,66,19.2,132,18.9,66,15.8,327,49.5,62,21.9,173,44.5,71,15.4,176,25,67,15.6,343
15/04/2020,671,42.5,66,19.6,124,19.4,66,16.4,332,49.4,62,22,169,44.4,71,15.3,170,27.1,68,16.2,357
16/04/2020,677,42.7,65,20,124,20.2,66,16,350,50.9,61,22.6,159,44,72,15.4,168,24.4,67,15.8,365
17/04/2020,645,42,66,19.5,114,17.5,66,15.2,331,49.8,62,22.1,159,43.4,71,15.5,155,23.9,68,15.2,374
18/04/2020,616,43.2,65,19.8,113,19.5,65,15.6,309,52.1,61,22.5,140,46.4,72,16.1,167,24,66,15.2,388
19/04/2020,610,43.3,65,19.3,114,18.4,66,15,311,51.8,61,21.6,147,48.3,72,16.4,152,21.1,66,14.9,396
20/04/2020,588,43.9,65,19.2,122,19.7,66,15.3,303,52.1,61,21.3,133,48.9,71,16,152,23,67,15.6,401
21/04/2020,539,43.4,65,19.3,118,19.5,66,14.9,252,52.8,61,21.6,143,48.3,72,16.2,144,22.2,67,15.5,407
22/04/2020,513,41.1,65,19.2,110,19.1,66,14.6,246,50.8,61,21.3,119,42.9,71,17,148,23.6,67,15,415
23/04/2020,486,39.9,65,19.7,114,17.5,67,14.4,237,48.5,60,22.3,104,43.3,72,16,145,23.4,68,15.1,420
24/04/2020,457,40.5,65,19.2,110,18.2,68,14.7,207,50.7,60,21.4,106,40.6,70,16.8,144,25.7,69,15.1,427
25/04/2020,434,40.6,66,19.1,107,15.9,68,14.7,196,50,60,21.5,103,45.6,72,15.7,135,23,69,15.6,430
26/04/2020,429,39.9,65,19.2,110,16.4,68,15.5,199,46.7,60,20.9,89,49.4,71,16.2,141,24.1,68,16.8,437
27/04/2020,407,39.6,66,18.8,101,15.8,68,14.6,189,46.6,61,21,87,51.7,72,14.7,131,21.4,68,16,439
28/04/2020,385,40.3,65,19.6,100,16,67,15.5,176,48.9,60,22.3,83,50.6,72,14.4,126,21.4,68,16.2,443
29/04/2020,376,41.2,65,20,96,16.7,67,15.3,172,51.7,59,22.8,82,43.9,70,14.4,122,24.6,68,17.1,448
30/04/2020,371,41.2,65,20,90,16.7,66,15.3,176,52.3,61,21.8,84,40.5,67,19.7,111,24.3,69,15.9,451
01/05/2020,341,41.6,64,20.2,89,16.9,67,15.7,154,52.6,58,22.5,78,46.2,71,16.3,109,22.9,69,16.2,455
02/05/2020,333,43.5,65,20.2,90,17.8,67,14.3,159,57.2,59,22.4,63,44.4,72,17.4,111,23.4,68,15.9,457
03/05/2020,322,45.3,64,20.6,84,16.7,67,13.9,152,58.6,58,22.8,69,49.3,73,18.3,101,22.8,68,15.5,457
04/05/2020,304,44.4,64,21.4,78,17.9,67,13.8,137,58.4,57,23.9,70,45.7,71,18.9,97,23.7,69,15.7,458
05/05/2020,268,44,65,21,72,18.1,66,13.9,117,60.7,58,23.5,60,43.3,73,18.8,91,23.1,68,15.8,458
06/05/2020,264,43.6,64,21,70,18.6,67,13.9,116,58.6,57,23.1,60,41.7,73,18.4,88,25,68,15.9,459
07/05/2020,252,45.2,65,20.2,70,18.6,67,13.7,109,59.6,58,22.3,59,45.8,74,18.9,84,26.2,69,14.2,460
08/05/2020,240,45.4,65,20.3,64,20.3,67,13.8,110,57.3,59,22.4,52,51.9,75,16.7,78,24.4,67,16.1,462
09/05/2020,244,45.9,64,20.6,64,20.3,66,14.9,117,60.7,59,23,49,44.9,73,16,78,24.4,66,17,463
