VaccinationDate,age_group,first_dose,second_dose,,
20/12/2020,80-89,94,0,,
20/12/2020,0-19,<15,0,,
20/12/2020,20-29,342,0,,Fuente: https://data.gov.il/dataset/covid-19/resource/57410611-936c-49a6-ac3c-838171055b1f
20/12/2020,60-69,1567,0,,
20/12/2020,50-59,1824,0,,
20/12/2020,90+,<15,0,,
20/12/2020,40-49,1815,0,,
20/12/2020,70-79,521,0,,
20/12/2020,30-39,1168,0,,
21/12/2020,0-19,47,0,,
21/12/2020,80-89,1247,0,,
21/12/2020,20-29,952,0,,
21/12/2020,50-59,3704,0,,
21/12/2020,70-79,5153,0,,
21/12/2020,60-69,7099,0,,
21/12/2020,90+,178,0,,
21/12/2020,30-39,2723,0,,
21/12/2020,40-49,3755,0,,
22/12/2020,0-19,77,0,,
22/12/2020,20-29,1431,0,,
22/12/2020,80-89,3665,0,,
22/12/2020,90+,511,0,,
22/12/2020,50-59,4595,0,,
22/12/2020,60-69,13892,0,,
22/12/2020,70-79,12344,0,,
22/12/2020,40-49,4517,0,,
22/12/2020,30-39,3567,0,,
23/12/2020,80-89,5916,0,,
23/12/2020,0-19,129,0,,
23/12/2020,20-29,1943,0,,
23/12/2020,30-39,3851,0,,
23/12/2020,90+,1137,0,,
23/12/2020,70-79,18891,0,,
23/12/2020,60-69,20675,0,,
23/12/2020,50-59,5339,0,,
23/12/2020,40-49,5009,0,,
24/12/2020,80-89,8021,0,,
24/12/2020,40-49,5222,0,,
24/12/2020,60-69,24535,0,,
24/12/2020,90+,1485,0,,
24/12/2020,30-39,3807,0,,
24/12/2020,70-79,22726,0,,
24/12/2020,20-29,1944,0,,
24/12/2020,0-19,157,0,,
24/12/2020,50-59,5621,0,,
25/12/2020,80-89,4716,0,,
25/12/2020,90+,851,0,,
25/12/2020,70-79,12804,0,,
25/12/2020,30-39,1445,0,,
25/12/2020,40-49,2323,0,,
25/12/2020,60-69,12809,0,,
25/12/2020,0-19,107,0,,
25/12/2020,20-29,733,0,,
25/12/2020,50-59,2928,0,,
26/12/2020,30-39,1034,0,,
26/12/2020,40-49,1742,0,,
26/12/2020,90+,774,0,,
26/12/2020,70-79,11079,0,,
26/12/2020,50-59,2415,0,,
26/12/2020,60-69,11342,0,,
26/12/2020,20-29,478,0,,
26/12/2020,0-19,75,0,,
26/12/2020,80-89,3890,0,,
27/12/2020,50-59,9983,0,,
27/12/2020,60-69,31793,0,,
27/12/2020,40-49,8584,0,,
27/12/2020,30-39,6147,0,,
27/12/2020,90+,2599,0,,
27/12/2020,70-79,29716,0,,
27/12/2020,80-89,12288,0,,
27/12/2020,20-29,3544,0,,
27/12/2020,0-19,395,0,,
28/12/2020,60-69,38802,0,,
28/12/2020,70-79,34284,0,,
28/12/2020,30-39,9740,0,,
28/12/2020,40-49,13584,0,,
28/12/2020,50-59,14787,0,,
28/12/2020,20-29,6652,0,,
28/12/2020,0-19,842,0,,
28/12/2020,80-89,14156,0,,
28/12/2020,90+,2844,0,,
29/12/2020,40-49,16549,0,,
29/12/2020,50-59,18509,0,,
29/12/2020,60-69,42985,0,,
29/12/2020,30-39,11686,0,,
29/12/2020,70-79,37251,0,,
29/12/2020,90+,4722,0,,
29/12/2020,20-29,7585,0,,
29/12/2020,0-19,1037,0,,
29/12/2020,80-89,16910,0,,
30/12/2020,50-59,20834,0,,
30/12/2020,0-19,1098,0,,
30/12/2020,20-29,8193,0,,
30/12/2020,80-89,15887,0,,
30/12/2020,70-79,34263,0,,
30/12/2020,90+,4216,0,,
30/12/2020,40-49,16423,0,,
30/12/2020,60-69,41329,0,,
30/12/2020,30-39,11904,0,,
31/12/2020,20-29,9578,0,,
31/12/2020,50-59,26482,0,,
31/12/2020,70-79,30804,0,,
31/12/2020,60-69,38783,0,,
31/12/2020,40-49,19442,0,,
31/12/2020,80-89,14957,0,,
31/12/2020,30-39,13979,0,,
31/12/2020,90+,4057,0,,
31/12/2020,0-19,1372,0,,
01/01/2021,0-19,704,0,,
01/01/2021,20-29,3236,0,,
01/01/2021,80-89,6295,0,,
01/01/2021,30-39,5896,0,,
01/01/2021,70-79,12967,0,,
01/01/2021,50-59,14080,0,,
01/01/2021,60-69,17740,0,,
01/01/2021,40-49,9554,0,,
01/01/2021,90+,1597,0,,
02/01/2021,20-29,3257,0,,
02/01/2021,80-89,5564,0,,
02/01/2021,0-19,754,0,,
02/01/2021,50-59,18296,0,,
02/01/2021,70-79,10705,0,,
02/01/2021,90+,1756,0,,
02/01/2021,60-69,14748,0,,
02/01/2021,30-39,5670,0,,
02/01/2021,40-49,11581,0,,
03/01/2021,0-19,1639,0,,
03/01/2021,20-29,9859,0,,
03/01/2021,80-89,13295,0,,
03/01/2021,90+,3225,0,,
03/01/2021,70-79,26645,0,,
03/01/2021,30-39,12880,0,,
03/01/2021,60-69,35570,0,,
03/01/2021,40-49,19450,0,,
03/01/2021,50-59,28320,0,,
04/01/2021,70-79,24221,0,,
04/01/2021,30-39,14102,0,,
04/01/2021,90+,2881,0,,
04/01/2021,20-29,11410,0,,
04/01/2021,0-19,1626,0,,
04/01/2021,80-89,12435,0,,
04/01/2021,50-59,30932,0,,
04/01/2021,40-49,22825,0,,
04/01/2021,60-69,32465,0,,
05/01/2021,80-89,10686,0,,
05/01/2021,20-29,8796,0,,
05/01/2021,40-49,17754,0,,
05/01/2021,90+,2478,0,,
05/01/2021,70-79,21337,0,,
05/01/2021,30-39,11410,0,,
05/01/2021,60-69,29167,0,,
05/01/2021,50-59,23660,0,,
05/01/2021,0-19,1353,0,,
06/01/2021,30-39,9422,0,,
06/01/2021,80-89,9036,0,,
06/01/2021,70-79,17106,0,,
06/01/2021,60-69,24609,0,,
06/01/2021,40-49,14171,0,,
06/01/2021,90+,2275,0,,
06/01/2021,0-19,1150,0,,
06/01/2021,20-29,8127,0,,
06/01/2021,50-59,18806,0,,
07/01/2021,20-29,8864,0,,
07/01/2021,90+,1882,0,,
07/01/2021,70-79,15944,0,,
07/01/2021,30-39,12186,0,,
07/01/2021,60-69,24009,0,,
07/01/2021,40-49,19384,0,,
07/01/2021,50-59,25462,0,,
07/01/2021,0-19,1456,0,,
07/01/2021,80-89,8172,0,,
08/01/2021,60-69,9932,0,,
08/01/2021,50-59,15029,0,,
08/01/2021,30-39,8993,0,,
08/01/2021,40-49,16239,0,,
08/01/2021,70-79,6023,0,,
08/01/2021,90+,656,0,,
08/01/2021,20-29,5611,0,,
08/01/2021,0-19,1759,0,,
